epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.714,1.45514,2.54866,0.97006,0.58918,0.42243,0.44725,0.23018,1.51893,1.10198,0.92279,0.000554685,0.000554685,0.000554685
2,445.112,1.36996,1.16604,0.96129,0.60204,0.47489,0.48385,0.24736,1.51066,1.03499,0.91826,0.00108837,0.00108837,0.00108837
3,659.869,1.33157,1.00415,0.95337,0.63975,0.39991,0.44508,0.22756,1.57147,1.09356,0.94522,0.00160004,0.00160004,0.00160004
4,871.657,1.29548,0.93531,0.94192,0.68625,0.43983,0.49587,0.25999,1.43548,0.9818,0.90224,0.00156798,0.00156798,0.00156798
5,1079.77,1.23142,0.87258,0.92877,0.66837,0.49176,0.53779,0.29068,1.32767,0.89173,0.88723,0.00153497,0.00153497,0.00153497
6,1286.36,1.20423,0.83846,0.91883,0.64653,0.51385,0.53425,0.29144,1.31437,0.92996,0.87376,0.00150197,0.00150197,0.00150197
7,1493.96,1.1766,0.80674,0.91331,0.67145,0.50282,0.53954,0.29022,1.28144,0.85257,0.87055,0.00146896,0.00146896,0.00146896
8,1699.35,1.15603,0.76594,0.90706,0.68786,0.50447,0.56176,0.31259,1.29122,0.87505,0.87195,0.00143595,0.00143595,0.00143595
9,1905.41,1.14078,0.77415,0.89823,0.64755,0.55211,0.58436,0.32096,1.28207,0.80997,0.86805,0.00140295,0.00140295,0.00140295
10,2110.38,1.10868,0.73933,0.89539,0.70646,0.52488,0.58221,0.32154,1.26171,0.80445,0.86535,0.00136994,0.00136994,0.00136994
11,2314.56,1.09025,0.72268,0.8892,0.69489,0.53124,0.58064,0.3197,1.24029,0.77715,0.85936,0.00133693,0.00133693,0.00133693
12,2519.45,1.09332,0.7256,0.89019,0.66499,0.50987,0.5596,0.31761,1.23582,0.81559,0.85881,0.00130393,0.00130393,0.00130393
13,2723.99,1.08017,0.71123,0.8851,0.71258,0.56278,0.62798,0.34598,1.15683,0.77319,0.84353,0.00127092,0.00127092,0.00127092
14,2925.93,1.06261,0.70242,0.8861,0.74136,0.56813,0.62769,0.3548,1.22413,0.75408,0.85801,0.00123791,0.00123791,0.00123791
15,3127.79,1.05158,0.69553,0.88212,0.70561,0.55782,0.61929,0.35372,1.18152,0.73531,0.84917,0.00120491,0.00120491,0.00120491
16,3332.03,1.04149,0.66766,0.88,0.77998,0.56129,0.63895,0.3608,1.13428,0.71628,0.83728,0.0011719,0.0011719,0.0011719
17,3535.98,1.04325,0.68918,0.8776,0.73069,0.56024,0.63162,0.36045,1.1502,0.72094,0.84452,0.00113889,0.00113889,0.00113889
18,3740.25,1.02477,0.65715,0.87267,0.76297,0.58576,0.65602,0.37386,1.12346,0.71914,0.83368,0.00110589,0.00110589,0.00110589
19,3947.14,1.00384,0.65419,0.87127,0.73508,0.56857,0.64484,0.37585,1.13835,0.69955,0.83699,0.00107288,0.00107288,0.00107288
20,4155.51,0.99695,0.64236,0.87005,0.74389,0.57193,0.64699,0.37129,1.11279,0.70156,0.83339,0.00103987,0.00103987,0.00103987
21,4363.67,0.99757,0.63796,0.86665,0.73023,0.58279,0.6547,0.3739,1.11911,0.67946,0.83233,0.00100687,0.00100687,0.00100687
22,4569.72,0.98658,0.63386,0.86758,0.73689,0.59789,0.66671,0.38607,1.10809,0.68034,0.83213,0.000973861,0.000973861,0.000973861
23,4776.67,0.98306,0.63079,0.86333,0.78976,0.57215,0.65888,0.37935,1.09113,0.68143,0.83072,0.000940855,0.000940855,0.000940855
24,4980.75,0.97374,0.61682,0.86624,0.75338,0.58408,0.66108,0.38077,1.11119,0.67314,0.83154,0.000907848,0.000907848,0.000907848
25,5188.39,0.96765,0.60697,0.86109,0.70761,0.5819,0.64546,0.37769,1.07446,0.66462,0.82467,0.000874842,0.000874842,0.000874842
26,5393.67,0.96511,0.60469,0.86492,0.74641,0.6065,0.67179,0.39014,1.09217,0.67177,0.82785,0.000841835,0.000841835,0.000841835
27,5599.72,0.95448,0.59944,0.86041,0.75677,0.60094,0.67216,0.39262,1.07436,0.66069,0.82493,0.000808828,0.000808828,0.000808828
28,5810.41,0.9533,0.59993,0.85593,0.76688,0.60414,0.68065,0.40018,1.06743,0.6394,0.82422,0.000775822,0.000775822,0.000775822
29,6018.58,0.94872,0.60165,0.8593,0.77821,0.6044,0.67584,0.39565,1.06656,0.64422,0.82492,0.000742815,0.000742815,0.000742815
30,6228.26,0.93331,0.58443,0.85689,0.76697,0.60362,0.6797,0.39951,1.06189,0.63739,0.8237,0.000709809,0.000709809,0.000709809
31,6438.63,0.94107,0.59051,0.85507,0.77945,0.58964,0.68008,0.39902,1.05727,0.64027,0.82207,0.000676802,0.000676802,0.000676802
32,6647.08,0.92312,0.57895,0.85195,0.76259,0.59845,0.68207,0.40479,1.06456,0.62852,0.82246,0.000643795,0.000643795,0.000643795
33,6855.13,0.92697,0.5812,0.85266,0.78588,0.59154,0.68826,0.40047,1.0418,0.63114,0.82009,0.000610789,0.000610789,0.000610789
34,7062.53,0.91521,0.57358,0.85132,0.76455,0.60271,0.67978,0.39663,1.04127,0.62531,0.8193,0.000577782,0.000577782,0.000577782
35,7270.45,0.91579,0.5645,0.84587,0.76954,0.60975,0.6931,0.40902,1.04252,0.62461,0.82014,0.000544776,0.000544776,0.000544776
36,7477.6,0.91452,0.56691,0.85291,0.75855,0.6112,0.68602,0.40242,1.03622,0.61916,0.81985,0.000511769,0.000511769,0.000511769
37,7685.37,0.90718,0.56174,0.84887,0.77443,0.60152,0.68898,0.40913,1.03377,0.61355,0.81652,0.000478762,0.000478762,0.000478762
38,7889.93,0.90349,0.5526,0.84864,0.78276,0.60474,0.69375,0.40864,1.03527,0.61268,0.81797,0.000445756,0.000445756,0.000445756
39,8095.98,0.89057,0.54507,0.84651,0.77402,0.61677,0.69736,0.41645,1.01347,0.60473,0.81397,0.000412749,0.000412749,0.000412749
40,8300.63,0.89366,0.55221,0.85029,0.77674,0.60156,0.69597,0.41479,1.00573,0.60832,0.81629,0.000379743,0.000379743,0.000379743
41,8504.16,0.91153,0.54099,0.84508,0.79238,0.59779,0.68911,0.41228,1.02216,0.6125,0.81564,0.000346736,0.000346736,0.000346736
42,8711.28,0.90305,0.53954,0.84372,0.80765,0.59107,0.69939,0.41549,1.01809,0.60728,0.81479,0.000313729,0.000313729,0.000313729
43,8913.11,0.88381,0.52622,0.83906,0.74707,0.6244,0.7002,0.41552,1.01641,0.59905,0.81367,0.000280723,0.000280723,0.000280723
44,9115.45,0.89308,0.52094,0.84221,0.7773,0.62895,0.71126,0.42171,1.01203,0.60114,0.81401,0.000247716,0.000247716,0.000247716
45,9318.1,0.87985,0.51716,0.83578,0.77924,0.62667,0.71008,0.42409,1.01008,0.59692,0.81304,0.00021471,0.00021471,0.00021471
46,9522.3,0.87257,0.51534,0.83646,0.76241,0.62266,0.70832,0.42314,1.00693,0.59568,0.8132,0.000181703,0.000181703,0.000181703
47,9726.89,0.86521,0.50948,0.8358,0.79011,0.6225,0.712,0.42119,1.00564,0.59269,0.8112,0.000148696,0.000148696,0.000148696
48,9931.1,0.85779,0.49808,0.83105,0.78651,0.62261,0.71022,0.42212,1.00316,0.59631,0.81143,0.00011569,0.00011569,0.00011569
49,10136.4,0.85969,0.49474,0.8339,0.80437,0.6178,0.71489,0.4279,1.00546,0.5861,0.8124,8.26832e-05,8.26832e-05,8.26832e-05
50,10340.4,0.852,0.49089,0.83709,0.79465,0.62309,0.71536,0.42835,1.00653,0.58397,0.81207,4.96766e-05,4.96766e-05,4.96766e-05
